Index;GOÄ;Schlüssel;GOÄZiffer;Beschreibung;Punktzahl;Einfachfaktor;Einfachsatz;Regelhöchstfaktor;Regelhöchstsatz;Höchstfaktor;Höchstsatz;Ausschlussziffer;go;ziffer;analog
280;GOÄ 514:;514;z 514; Extensionsbehandlung kombiniert mit Wärmetherapie und Massage mittels Gerät;105;1;6,12;1,8;11,02;2,5;15,3;Ausschlussziffern: GOÄ 515, GOÄ 516, GOÄ 520, GOÄ 521, GOÄ 530, GOÄ 535, GOÄ 536, GOÄ 538, GOÄ 725, GOÄ 1522;GOAE;z 514;
281;GOÄ 515:;515;z 515; Extensionsbehandlung (z.B. Glissonschlinge);38;1;2,21;1,8;3,99;2,5;5,54;Ausschlussziffern: GOÄ 514, GOÄ 516, GOÄ 714, GOÄ 725;GOAE;z 515;
282;GOÄ 516:;516;z 516; Extensionsbehandlung mit Schrägbett, Extensionstisch, Perlgerät;65;1;3,79;1,8;6,82;2,5;9,47;Ausschlussziffern: GOÄ 514, GOÄ 515, GOÄ 725;GOAE;z 516;
283;GOÄ 518:;518;z 518; Prothesengebrauchsschulung des Patienten – gegebenenfalls einschließlich seiner Betreuungsperson -, auch Fremdkraftprothesenschulung, Mindestdauer 20 Minuten, je Sitzung;120;1;6,99;1,8;12,59;2,5;17,49;Ausschlussziffern: GOÄ 725;GOAE;z 518;
284;GOÄ 520:;520;z 520; Teilmassage (Massage einzelner Körperteile);45;1;2,62;1,8;4,72;2,5;6,56;Ausschlussziffern: GOÄ 505, GOÄ 506, GOÄ 507, GOÄ 514, GOÄ 521, GOÄ 523, GOÄ 527, GOÄ 725;GOAE;z 520;
285;GOÄ 521:;521;z 521; Großmassage (z.B. Massage beider Beine, beider Arme, einer Körperseite, des Schultergürtels, eines Armes und eines Beines, des Rückens und eines Beines, des Rückens und eines Armes, beider Füße, beider Hände, beider Knie, beider Schultergelenke und ähnliche Massagen mehrerer Körperteile), je Sitzung;65;1;3,79;1,8;6,82;2,5;9,47;Ausschlussziffern: GOÄ 506, GOÄ 507, GOÄ 510, GOÄ 514, GOÄ 520, GOÄ 523, GOÄ 725;GOAE;z 521;
286;GOÄ 523:;523;z 523; Massage im extramuskulären Bereich (z.B. Bindegewebsmassage, Periostmassage, manuelle Lymphdrainage);65;1;3,79;1,8;6,82;2,5;9,47;Ausschlussziffern: GOÄ 506, GOÄ 507, GOÄ 725;GOAE;z 523;
287;GOÄ 525:;525;z 525; Intermittierende apparative Kompressionstherapie an einer Extremität, je Sitzung;35;1;2,04;1,8;3,67;2,5;5,1;Ausschlussziffern: GOÄ 725;GOAE;z 525;
288;GOÄ 526:;526;z 526; Intermittierende apparative Kompressionstherapie an mehreren Extremitäten, je Sitzung;55;1;3,21;1,8;5,77;2,5;8,01;Ausschlussziffern: GOÄ 725;GOAE;z 526;
289;GOÄ 527:;527;z 527; Unterwasserdruckstrahlmassage (Wanneninhalt mindestens 400 Liter, Leistung der Apparatur mindestens 4 bar);94;1;5,48;1,8;9,86;2,5;13,7;Ausschlussziffern: GOÄ 725;GOAE;z 527;
290;GOÄ 530:;530;z 530; Kalt- oder Heißpackung(en) oder heiße Rolle, je Sitzung;35;1;2,04;1,8;3,67;2,5;5,1;Ausschlussziffern:;GOAE;z 530;
291;GOÄ 531:;531;z 531; Leitung eines ansteigenden Teilbades;46;1;2,68;1,8;4,83;2,5;6,7;Ausschlussziffern: GOÄ 532, GOÄ 553, GOÄ 554;GOAE;z 531;
292;GOÄ 532:;532;z 532; Leitung eines ansteigenden Vollbades (Überwärmungsbad);76;1;4,43;1,8;7,97;2,5;11,07;Ausschlussziffern: GOÄ 553, GOÄ 554;GOAE;z 532;
293;GOÄ 533:;533;z 533; Subaquales Darmbad;150;1;8,74;1,8;15,74;2,5;21,86;Ausschlussziffern:;GOAE;z 533;
294;GOÄ 535:;535;z 535; Heißluftbehandlung eines Körperteils (z.B. Kopf oder Arm);33;1;1,92;1,8;3,46;2,5;4,81;Ausschlussziffern: GOÄ 514, GOÄ 535, GOÄ 536, GOÄ 538, GOÄ 539, GOÄ 548, GOÄ 551, GOÄ 552, GOÄ 725;GOAE;z 535;
295;GOÄ 536:;536;z 536; Heißluftbehandlung mehrerer Körperteile (z.B. Rumpf oder Beine);51;1;2,97;1,8;5,35;2,5;7,43;Ausschlussziffern: GOÄ 514, GOÄ 535, GOÄ 725;GOAE;z 536;
296;GOÄ 538:;538;z 538; Infrarotbehandlung, je Sitzung;40;1;2,33;1,8;4,2;2,5;5,83;Ausschlussziffern: GOÄ 514, GOÄ 560, GOÄ 562, GOÄ 725;GOAE;z 538;
297;GOÄ 539:;539;z 539; Ultraschallbehandlung;44;1;2,56;1,8;4,62;2,5;6,41;Ausschlussziffern: GOÄ 725;GOAE;z 539;
298;GOÄ 548:;548;z 548; Kurzwellen-, Mikrowellenbehandlung (Anwendung hochfrequenter Ströme);37;1;2,16;1,8;3,88;2,5;5,39;Ausschlussziffern: GOÄ 549, GOÄ 551, GOÄ 725;GOAE;z 548;
299;GOÄ 549:;549;z 549; Kurzwellen-, Mikrowellenbehandlung (Anwendung hochfrequenter Ströme) bei Behandlung verschiedener Körperregionen in einer Sitzung;55;1;3,21;1,8;5,77;2,5;8,01;Ausschlussziffern: GOÄ 548, GOÄ 551, GOÄ 725;GOAE;z 549;
300;GOÄ 551:;551;z 551; Reizstrombehandlung (Anwendung niederfrequenter Ströme) – auch bei wechselweiser Anwendung verschiedener Impuls- oder Stromformen und gegebenenfalls unter Anwendung von Saugelektroden –;48;1;2,8;1,8;5,04;2,5;6,99;Ausschlussziffern: GOÄ 725;GOAE;z 551;
301;GOÄ 552:;552;z 552; Iontophorese;44;1;2,56;1,8;4,62;2,5;6,41;Ausschlussziffern: GOÄ 413, GOÄ 725;GOAE;z 552;
302;GOÄ 553:;553;z 553; Vierzellenbad;46;1;2,68;1,8;4,83;2,5;6,7;Ausschlussziffern: GOÄ 554, GOÄ 725;GOAE;z 553;
303;GOÄ 554:;554;z 554; Hydroelektrisches Vollbad (Kataphoretisches Bad, Stanger-Bad);91;1;5,3;1,8;9,55;2,5;13,26;Ausschlussziffern: GOÄ 553, GOÄ 725;GOAE;z 554;
304;GOÄ 555:;555;z 555; Gezielte Niederfrequenzbehandlung bei spastischen und/oder schlaffen Lähmungen, je Sitzung;120;1;6,99;1,8;12,59;2,5;17,49;Ausschlussziffern: GOÄ 725;GOAE;z 555;
305;GOÄ 558:;558;z 558; Apparative isokinetische Muskelfunktionstherapie, je Sitzung;120;1;6,99;1,8;12,59;2,5;17,49;Ausschlussziffern:;GOAE;z 558;
306;GOÄ 560:;560;z 560; Behandlung mit Ultraviolettlicht in einer Sitzung;31;1;1,81;1,8;3,25;2,5;4,52;Ausschlussziffern: GOÄ 538, GOÄ 561, GOÄ 562, GOÄ 761;GOAE;z 560;
307;GOÄ 561:;561;z 561; Reizbehandlung eines umschriebenen Hautbezirkes mit Ultraviolettlicht;31;1;1,81;1,8;3,25;2,5;4,52;Ausschlussziffern: GOÄ 538, GOÄ 560, GOÄ 562, GOÄ 761;GOAE;z 561;
308;GOÄ 562:;562;z 562; Reizbehandlung mehrerer umschriebener Hautbezirke mit Ultraviolettlicht in einer Sitzung;46;1;2,68;1,8;4,83;2,5;6,7;Ausschlussziffern: GOÄ 538, GOÄ 560, GOÄ 561, GOÄ 761;GOAE;z 562;
309;GOÄ 563:;563;z 563; Quarzlampendruckbestrahlung eines Feldes;46;1;2,68;1,8;4,83;2,5;6,7;Ausschlussziffern: GOÄ 564;GOAE;z 563;
310;GOÄ 564:;564;z 564; Quarzlampendruckbestrahlung mehrerer Felder in einer Sitzung;91;1;5,3;1,8;9,55;2,5;13,26;Ausschlussziffern:;GOAE;z 564;
311;GOÄ 565:;565;z 565; Photochemotherapie, je Sitzung;120;1;6,99;1,8;12,59;2,5;17,49;Ausschlussziffern:;GOAE;z 565;
312;GOÄ 566:;566;z 566; Phototherapie eines Neugeborenen, je Tag;500;1;29,14;1,8;52,46;2,5;72,86;Ausschlussziffern:;GOAE;z 566;
313;GOÄ 567:;567;z 567; Phototherapie mit selektivem UV-Spektrum, je Sitzung;91;1;5,3;1,8;9,55;2,5;13,26;Ausschlussziffern:;GOAE;z 567;
314;GOÄ 569:;569;z 569; Photo-Patch-Test (belichteter Läppchentest), bis zu drei Tests je Sitzung, je Test;30;1;1,75;1,8;3,15;2,5;4,37;Ausschlussziffern:;GOAE;z 569;
315;GOÄ 600:;600;z 600; Herzfunktionsprüfung nach Schellong einschließlich graphischer Darstellung;73;1;4,25;2,3;9,79;3,5;14,89;Ausschlussziffern: GOÄ 5, GOÄ 6, GOÄ 7, GOÄ 8, GOÄ 435, GOÄ 650, GOÄ 651, GOÄ 652;GOAE;z 600;
316;GOÄ 601:;601;z 601; Hyperventilationsprüfung;44;1;2,56;2,3;5,9;3,5;8,98;Ausschlussziffern: GOÄ 5, GOÄ 6, GOÄ 7, GOÄ 8, GOÄ 435, GOÄ 827, GOÄ 827a;GOAE;z 601;
317;GOÄ 602:;602;z 602; Oxymetrische Untersuchung(en) (Bestimmung der prozentualen Sauerstoffsättigung im Blut) – gegebenenfalls einschließlich Bestimmung(en) nach Belastung –;152;1;8,86;1,8;15,95;2,5;22,15;Ausschlussziffern: GOÄ 435, GOÄ 606, GOÄ 626, GOÄ 627, GOÄ 628, GOÄ 629, GOÄ 630, GOÄ 632;GOAE;z 602;
318;GOÄ 603:;603;z 603; Bestimmung des Atemwegwiderstandes (Resistance) nach der Oszillationsmethode oder der Verschlußdruckmethode – gegebenenfalls einschließlich fortlaufender Registrierung –;90;1;5,25;2,3;12,07;3,5;18,36;Ausschlussziffern: GOÄ 435, GOÄ 604, GOÄ 608;GOAE;z 603;
319;GOÄ 604:;604;z 604; Bestimmung des Atemwegwiderstandes (Resistance) nach der Oszillationsmethode oder der Verschlußdruckmethode vor und nach Applikation pharmakodynamisch wirksamer Substanzen – gegebenenfalls einschließlich Phasenwinkelbestimmung und gegebenenfalls einschließlich fortlaufender Registrierung –;160;1;9,33;2,3;21,45;3,5;32,64;Ausschlussziffern: GOÄ 435, GOÄ 603, GOÄ 608;GOAE;z 604;
320;GOÄ 605:;605;z 605; Ruhespirographische Untersuchung (im geschlossenen oder offenen System) mit fortlaufend registrierenden Methoden;242;1;14,11;1,8;25,39;2,5;35,26;Ausschlussziffern: GOÄ 435, GOÄ 606, GOÄ 608, GOÄ 610, GOÄ 612, GOÄ 629;GOAE;z 605;
321;GOÄ 605a:;605a;z 605a; Darstellung der Flußvolumenkurve bei spirographischen Untersuchungen – einschließlich graphischer Registrierung und Dokumentation –;140;1;8,16;1,8;14,69;2,5;20,4;Ausschlussziffern: GOÄ 435;GOAE;z 605a;
322;GOÄ 606:;606;z 606; Spiroergometrische Untersuchung – einschließlich vorausgegangener Ruhespirographie und gegebenenfalls einschließlich Oxymetrie –;379;1;22,09;1,8;39,76;2,5;55,23;Ausschlussziffern: GOÄ 435, GOÄ 602, GOÄ 605, GOÄ 608;GOAE;z 606;
323;GOÄ 607:;607;z 607; Residualvolumenbestimmung (Fremdgasmethode);242;1;14,11;1,8;25,39;2,5;35,26;Ausschlussziffern: GOÄ 435;GOAE;z 607;
324;GOÄ 608:;608;z 608; Ruhespirographische Teiluntersuchung (z.B. Bestimmung des Atemgrenzwertes, Atemstoßtest), insgesamt;76;1;4,43;1,8;7,97;2,5;11,07;Ausschlussziffern: GOÄ 435, GOÄ 603, GOÄ 604, GOÄ 605, GOÄ 606, GOÄ 610, GOÄ 612;GOAE;z 608;
325;GOÄ 609:;609;z 609; Bestimmung der absoluten und relativen Sekundenkapazität vor und nach Inhalation pharmakodynamisch wirksamer Substanzen;182;1;10,61;1,8;19,09;2,5;26,52;Ausschlussziffern: GOÄ 397, GOÄ 398, GOÄ 435, GOÄ 608, GOÄ 610, GOÄ 612;GOAE;z 609;
326;GOÄ 610:;610;z 610; Ganzkörperplethysmographische Untersuchung (Bestimmung des intrathorakalen Gasvolumens und des Atemwegwiderstandes) – gegebenenfalls mit Bestimmung der Lungendurchblutung –;605;1;35,26;1,8;63,47;2,5;88,16;Ausschlussziffern: GOÄ 605, GOÄ 608, GOÄ 612;GOAE;z 610;
327;GOÄ 611:;611;z 611; Bestimmung der Lungendehnbarkeit (Compliance) – einschließlich Einführung des Ösophaguskatheters –;605;1;35,26;1,8;63,47;2,5;88,16;Ausschlussziffern: GOÄ 680, GOÄ 681;GOAE;z 611;
328;GOÄ 612:;612;z 612; Ganzkörperplethysmographische Bestimmung der absoluten und relativen Sekundenkapazität und des Atemwegwiderstandes vor und nach Applikation pharmakodynamisch wirksamer Substanzen;757;1;44,12;1,8;79,42;2,5;110,31;Ausschlussziffern: GOÄ 605, GOÄ 608, GOÄ 609, GOÄ 610;GOAE;z 612;
329;GOÄ 614:;614;z 614; Transkutane Messung(en) des Sauerstoffpartialdrucks;150;1;8,74;1,8;15,74;2,5;21,86;Ausschlussziffern:;GOAE;z 614;
330;GOÄ 615:;615;z 615; Untersuchung der CO-Diffusionskapazität mittels Ein-Atemzugmethode (single-breath);227;1;13,23;1,8;23,82;2,5;33,08;Ausschlussziffern: GOÄ 616;GOAE;z 615;
331;GOÄ 616:;616;z 616; Untersuchung der CO-Diffusionskapazität als fortlaufende Bestimmung (steady state) in Ruhe oder unter Belastung;303;1;17,66;1,8;31,79;2,5;44,15;Ausschlussziffern: GOÄ 615;GOAE;z 616;
332;GOÄ 617:;617;z 617; Gasanalyse in der Exspirationsluft mittels kontinuierlicher Bestimmung mehrerer Gase;341;1;19,88;1,8;35,78;2,5;49,69;Ausschlussziffern:;GOAE;z 617;
333;GOÄ 620:;620;z 620; Rheographische Untersuchung der Extremitäten;152;1;8,86;1,8;15,95;2,5;22,15;Ausschlussziffern:;GOAE;z 620;
334;GOÄ 621:;621;z 621; Mechanisch-oszillographische Untersuchung (Gesenius-Keller);127;1;7,4;1,8;13,32;2,5;18,51;Ausschlussziffern:;GOAE;z 621;
335;GOÄ 622:;622;z 622; Akrale infraton-oszillographische Untersuchung;182;1;10,61;1,8;19,09;2,5;26,52;Ausschlussziffern:;GOAE;z 622;
336;GOÄ 623:;623;z 623; Temperaturmessung(en) an der Hautoberfläche (z.B. der Brustdrüse) mittels Flüssig-Kristall-Thermographie (Plattenthermographie) einschließlich der notwendigen Aufnahmen;140;1;8,16;1,8;14,69;2,5;20,4;Ausschlussziffern: GOÄ 624;GOAE;z 623;
337;GOÄ 624:;624;z 624; Thermographische Untersuchung mittels elektronischer Infrarotmessung mit Schwarzweiß-Wiedergabe und Farbthermogramm einschließlich der notwendigen Aufnahmen, je Sitzung;330;1;19,23;1,8;34,62;2,5;48,09;Ausschlussziffern: GOÄ 623;GOAE;z 624;
338;GOÄ 626:;626;z 626; Rechtsherzkatheterismus – einschließlich Druckmessungen und oxymetrischer Untersuchungen sowie fortlaufender EKG-und Röntgenkontrolle –;1000;1;58,29;2,3;134,06;3,5;204,01;Ausschlussziffern: GOÄ 260, GOÄ 355, GOÄ 356, GOÄ 360, GOÄ 361, GOÄ 602, GOÄ 648, GOÄ 650, GOÄ 651, GOÄ 3710, GOÄ 5295;GOAE;z 626;
339;GOÄ 627:;627;z 627; Linksherzkatheterismus – einschließlich Druckmessungen und oxymetrischer Untersuchungen sowie fortlaufender EKG- und Röntgenkontrolle –;1500;1;87,43;2,3;201,09;3,5;306,01;Ausschlussziffern: GOÄ 260, GOÄ 355, GOÄ 356, GOÄ 360, GOÄ 361, GOÄ 602, GOÄ 648, GOÄ 650, GOÄ 651, GOÄ 3710, GOÄ 5295;GOAE;z 627;
340;GOÄ 628:;628;z 628; Herzkatheterismus mit Druckmessungen und oxymetrischen Untersuchungen – einschließlich fortlaufender EKG- und Röntgenkontrolle – im zeitlichen Zusammenhang mit Leistungen nach den Nummern 355 und/oder 360;800;1;46,63;2,3;107,25;3,5;163,2;Ausschlussziffern: GOÄ 260, GOÄ 602, GOÄ 648, GOÄ 650, GOÄ 651, GOÄ 3710, GOÄ 5295;GOAE;z 628;
341;GOÄ 629:;629;z 629; Transseptaler Linksherzkatheterismus – einschließlich Druckmessungen und oxymetrischer Untersuchungen sowie fortlaufender EKG- und Röntgenkontrolle –;2000;1;116,57;2,3;268,12;3,5;408,01;Ausschlussziffern: GOÄ 260, GOÄ 355, GOÄ 356, GOÄ 602, GOÄ 648, GOÄ 650, GOÄ 651, GOÄ 3710, GOÄ 5295;GOAE;z 629;
342;GOÄ 630:;630;z 630; Mikro-Herzkatheterismus unter Verwendung eines Einschwemmkatheters – einschließlich Druckmessungen nebst fortlaufender EKG-Kontrolle –;908;1;52,92;2,3;121,73;3,5;185,24;Ausschlussziffern: GOÄ 260, GOÄ 355, GOÄ 356, GOÄ 360, GOÄ 361, GOÄ 602, GOÄ 626, GOÄ 628, GOÄ 632, GOÄ 648, GOÄ 650, GOÄ 651, GOÄ 3710, GOÄ 5295;GOAE;z 630;
343;GOÄ 631:;631;z 631; Anlegung eines transvenösen temporären Schrittmachers – einschließlich Venenpunktion, Elektrodeneinführung, Röntgendurchleuchtung des Brustkorbs und fortlaufender EKG-Kontrolle –;1110;1;64,7;2,3;148,81;3,5;226,45;Ausschlussziffern: GOÄ 260, GOÄ 650, GOÄ 651, GOÄ 652, GOÄ 5295;GOAE;z 631;
344;GOÄ 632:;632;z 632; Mikro-Herzkatheterismus unter Verwendung eines Einschwemmkatheters – einschließlich Druckmessungen und oxymetrischer Untersuchungen nebst fortlaufender EKG-Kontrolle – gegebenenfalls auch unter Röntgen-Kontrolle –;1210;1;70,53;2,3;162,21;3,5;246,85;Ausschlussziffern: GOÄ 260, GOÄ 355, GOÄ 356, GOÄ 360, GOÄ 361, GOÄ 602, GOÄ 630, GOÄ 648, GOÄ 650, GOÄ 651, GOÄ 3710, GOÄ 5295;GOAE;z 632;
345;GOÄ 634:;634;z 634; Lichtreflex-Rheographie;120;1;6,99;2,3;16,09;3,5;24,48;Ausschlussziffern: GOÄ 435;GOAE;z 634;
346;GOÄ 635:;635;z 635; Photoelektrische Volumenpulsschreibung an mindestens vier Punkten;227;1;13,23;1,8;23,82;2,5;33,08;Ausschlussziffern: GOÄ 435, GOÄ 636;GOAE;z 635;
347;GOÄ 636:;636;z 636; Photoelektrische Volumenpulsschreibung mit Kontrolle des reaktiven Verhaltens der peripheren Arterien nach Belastung (z.B. mit Temperaturreizen);379;1;22,09;1,8;39,76;2,5;55,23;Ausschlussziffern: GOÄ 435, GOÄ 635;GOAE;z 636;
348;GOÄ 637:;637;z 637; Pulswellenlaufzeitbestimmung – gegebenenfalls einschließlich einer elektrokardiographischen Kontrollableitung –;227;1;13,23;1,8;23,82;2,5;33,08;Ausschlussziffern: GOÄ 435;GOAE;z 637;
349;GOÄ 638:;638;z 638; Punktuelle Arterien – und/oder Venenpulsschreibung;121;1;7,05;1,8;12,69;2,5;17,63;Ausschlussziffern: GOÄ 435;GOAE;z 638;
350;GOÄ 639:;639;z 639; Prüfung der spontanen und reaktiven Vasomotorik (photoplethysmographische Registrierung der Blutfüllung und photoplethysmographische Simultanregistrierung der Füllungsschwankungen peripherer Arterien an mindestens vier peripheren Gefäßabschnitten sowie gleichzeitige Registrierung des Volumenpulsbandes);454;1;26,46;1,8;47,63;2,5;66,16;Ausschlussziffern: GOÄ 435;GOAE;z 639;
351;GOÄ 640:;640;z 640; Phlebodynamometrie;650;1;37,89;1,8;68,2;2,5;94,72;Ausschlussziffern: GOÄ 435;GOAE;z 640;
352;GOÄ 641:;641;z 641; Venenverschluß-plethysmographische Untersuchung;413;1;24,07;1,8;43,33;2,5;60,18;Ausschlussziffern: GOÄ 435, GOÄ 642;GOAE;z 641;
353;GOÄ 642:;642;z 642; Venenverschluß-plethysmographische Untersuchung mit reaktiver Hyperämiebelastung;554;1;32,29;1,8;58,12;2,5;80,73;Ausschlussziffern: GOÄ 435, GOÄ 641;GOAE;z 642;
354;GOÄ 643:;643;z 643; Periphere Arterien- bzw. Venendruck- und/oder Strömungsmessung;120;1;6,99;1,8;12,59;2,5;17,49;Ausschlussziffern: GOÄ 401, GOÄ 435, GOÄ 644;GOAE;z 643;
355;GOÄ 644:;644;z 644; Untersuchung der Strömungsverhältnisse in den Extremitätenarterien bzw. -venen mit direktionaler Ultraschall-Doppler-Technik – einschließlich graphischer Registrierung –;180;1;10,49;1,8;18,89;2,5;26,23;Ausschlussziffern: GOÄ 401, GOÄ 404, GOÄ 435, GOÄ 643;GOAE;z 644;
356;GOÄ 645:;645;z 645; Untersuchung der Strömungsverhältnisse in den hirnversorgenden Arterien und den Periorbitalarterien mit direktionaler Ultraschall-Doppler-Technik – einschließlich graphischer Registrierung –;650;1;37,89;1,8;68,2;2,5;94,72;Ausschlussziffern: GOÄ 401, GOÄ 404, GOÄ 435, GOÄ 643;GOAE;z 645;
357;GOÄ 646:;646;z 646; Hypoxietest (Simultanregistrierung des Atemvolumens und des Gasaustausches, der Arterialisation sowie der peripheren Vasomotorik mit gasanalytischen und photoelektrischen Verfahren);605;1;35,26;1,8;63,47;2,5;88,16;Ausschlussziffern: GOÄ 435;GOAE;z 646;
358;GOÄ 647:;647;z 647; Kardiologische und/oder hepatologische Kreislaufzeitmessung(en) mittels Indikatorverdünnungsmethoden – einschließlich Kurvenschreibung an verschiedenen Körperstellen mit Auswertung und einschließlich Applikation der Testsubstanz –;220;1;12,82;1,8;23,08;2,5;32,06;Ausschlussziffern: GOÄ 435;GOAE;z 647;
359;GOÄ 648:;648;z 648; Messung(en) des zentralen Venen- oder Arteriendrucks, auch unter Belastung, – einschließlich Venen- oder Arterienpunktion, Kathetereinführung(en) und gegebenenfalls Röntgenkontrolle –;605;1;35,26;2,3;81,11;3,5;123,42;Ausschlussziffern: GOÄ 260, GOÄ 435, GOÄ 626, GOÄ 627, GOÄ 628, GOÄ 629, GOÄ 630, GOÄ 632, GOÄ 5135, GOÄ 5137, GOÄ 5139, GOÄ 5140, GOÄ 5295;GOAE;z 648;
360;GOÄ 649:;649;z 649; Transkranielle, doppler-sonographische Untersuchung – einschließlich graphischer Registrierung –;650;1;37,89;2,3;87,14;3,5;132,6;Ausschlussziffern: GOÄ 401, GOÄ 404;GOAE;z 649;
361;GOÄ 650:;650;z 650; Elektrokardiographische Untersuchung zur Feststellung einer Rhythmusstörung und/oder zur Verlaufskontrolle – gegebenenfalls als Notfall-EKG –;152;1;8,86;1,8;15,95;2,5;22,15;Ausschlussziffern: GOÄ 435, GOÄ 600, GOÄ 626, GOÄ 627, GOÄ 628, GOÄ 629, GOÄ 630, GOÄ 632, GOÄ 651, GOÄ 653, GOÄ 655, GOÄ 656, GOÄ 659, GOÄ 661;GOAE;z 650;
362;GOÄ 651:;651;z 651; Elektrokardiographische Untersuchung in Ruhe – auch gegebenenfalls nach Belastung – mit Extremitäten- und Brustwandableitungen (mindestens neun Ableitungen);253;1;14,75;1,8;26,54;2,5;36,87;Ausschlussziffern: GOÄ 435, GOÄ 600, GOÄ 626, GOÄ 627, GOÄ 628, GOÄ 629, GOÄ 630, GOÄ 632, GOÄ 650, GOÄ 652, GOÄ 653, GOÄ 656, GOÄ 659, GOÄ 661;GOAE;z 651;
363;GOÄ 652:;652;z 652; Elektrokardiographische Untersuchung unter fortschreibender Registrierung (mindestens neun Ableitungen) in Ruhe und bei physikalisch definierter und reproduzierbarer Belastung (Ergometrie) – gegebenenfalls auch Belastungsänderung –;445;1;25,94;2,3;59,66;3,5;90,78;Ausschlussziffern: GOÄ 435, GOÄ 600, GOÄ 650, GOÄ 651, GOÄ 653, GOÄ 656, GOÄ 659, GOÄ 661;GOAE;z 652;
364;GOÄ 653:;653;z 653; Elektrokardiographische Untersuchung auf telemetrischem Wege;253;1;14,75;1,8;26,54;2,5;36,87;Ausschlussziffern: GOÄ 435, GOÄ 650, GOÄ 651, GOÄ 652;GOAE;z 653;
365;GOÄ 654:;654;z 654; Langzeitblutdruckmessung von mindestens 18 Stunden Dauer – einschließlich Aufzeichnung und Auswertung –;150;1;8,74;1,8;15,74;2,5;21,86;Ausschlussziffern: GOÄ 435;GOAE;z 654;
366;GOÄ 655:;655;z 655; Elektrokardiographische Untersuchung mittels Ösophagusableitung – einschließlich Einführen der Elektrode – zusätzlich zu den Nummern 651 oder 652;152;1;8,86;2,3;20,38;3,5;31,01;Ausschlussziffern: GOÄ 435, GOÄ 680, GOÄ 681;GOAE;z 655;
367;GOÄ 656:;656;z 656; Elektrokardiographische Untersuchung mittels intrakavitärer Ableitung am Hisschen Bündel einschließlich Röntgenkontrolle;1820;1;106,08;2,3;243,99;3,5;371,29;Ausschlussziffern: GOÄ 435;GOAE;z 656;
368;GOÄ 657:;657;z 657; Vektorkardiographische Untersuchung;253;1;14,75;1,8;26,54;2,5;36,87;Ausschlussziffern: GOÄ 435;GOAE;z 657;
369;GOÄ 659:;659;z 659; Elektrokardiographische Untersuchung über mindestens 18 Stunden (Langzeit-EKG) – gegebenenfalls einschließlich gleichzeitiger Registrierung von Puls und Atmung -, mit Auswertung;400;1;23,31;1,8;41,97;2,5;58,29;Ausschlussziffern: GOÄ 435;GOAE;z 659;
370;GOÄ 660:;660;z 660; Phonokardiographische Untersuchung mit mindestens zwei verschiedenen Ableitpunkten in mehreren Frequenzbereichen – einschließlich einer elektrokardiographischen Kontrollableitung sowie gegebenenfalls mit Karotispulskurve und/oder apexkardiographischer Untersuchung –;303;1;17,66;1,8;31,79;2,5;44,15;Ausschlussziffern: GOÄ 435;GOAE;z 660;
371;GOÄ 661:;661;z 661; Impulsanalyse und EKG zur Überwachung eines implantierten Schrittmachers – gegebenenfalls mit Magnettest –;530;1;30,89;1,8;55,61;2,5;77,23;Ausschlussziffern: GOÄ 435, GOÄ 631, GOÄ 650, GOÄ 651, GOÄ 652, GOÄ 653;GOAE;z 661;
372;GOÄ 665:;665;z 665; Grundumsatzbestimmung mittels Stoffwechselapparatur ohne Kohlensäurebestimmung;121;1;7,05;1,8;12,69;2,5;17,63;Ausschlussziffern: GOÄ 435;GOAE;z 665;
373;GOÄ 666:;666;z 666; Grundumsatzbestimmung mittels Stoffwechselapparatur mit Kohlensäurebestimmung;227;1;13,23;1,8;23,82;2,5;33,08;Ausschlussziffern: GOÄ 435;GOAE;z 666;
374;GOÄ 669:;669;z 669; Ultraschallechographie des Gehirns (Echoenzephalographie);212;1;12,36;2,3;28,42;3,5;43,25;Ausschlussziffern: GOÄ 435;GOAE;z 669;
375;GOÄ 670:;670;z 670; Einführung einer Magenverweilsonde zur enteralen Ernährung oder zur Druckentlastung;120;1;6,99;2,3;16,09;3,5;24,48;Ausschlussziffern: GOÄ 435;GOAE;z 670;
376;GOÄ 671:;671;z 671; Fraktionierte Ausheberung des Magensaftes – auch nach Probefrühstück oder Probemahlzeit –;120;1;6,99;2,3;16,09;3,5;24,48;Ausschlussziffern: GOÄ 435;GOAE;z 671;
377;GOÄ 672:;672;z 672; Ausheberung des Duodenalsaftes – auch mit Gallenreflex oder Duodenalspülung, gegebenenfalls fraktioniert –;120;1;6,99;2,3;16,09;3,5;24,48;Ausschlussziffern: GOÄ 435;GOAE;z 672;
378;GOÄ 674:;674;z 674; Anlage eines Pneumothorax – gegebenenfalls einschließlich Röntgendurchleuchtungen vor und nach der Füllung –;370;1;21,57;2,3;49,6;3,5;75,48;Ausschlussziffern:;GOAE;z 674;
379;GOÄ 675:;675;z 675; Pneumothoraxfüllung – gegebenenfalls einschließlich Röntgendurchleuchtungen vor und nach der Füllung –;275;1;16,03;2,3;36,87;3,5;56,1;Ausschlussziffern: GOÄ 674;GOAE;z 675;
